Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SLC4A4	5.39231742277876	5.15785216914174	5.27426166125705	4.930737337562889	4.63807383718072	4.88264304936184	5.19770815795585	5.53605290024021	3.86789646399266	4.77082904603249	4.51727569320958	5.0746766862945005	4.68929916053589	5.343407822297809	4.80219321694183	4.5849625007211605	5.46923479366766	5.72246602447109	5.35755200461808	4.95884267524324	5.23266075679027	5.14159627838382	5.93545974780529	3.1699250014423104
SMPDL3B	6.06177619758669	7.30651744524982	7.19967234483636	6.8163437052848606	5.84799690655495	6.96000193206808	6.362820525534261	6.575917361118151	7.06285565520599	6.242221395098371	6.431288654291589	7.34961297182452	6.2779847472997705	5.6752513860502605	6.70597790168252	7.312882955284361	7.28909670241999	7.0433007543641795	7.4902492106270895	6.68790052248075	5.93310047493137	6.7045953476324	6.40258575823259	6.71561885907482
TMEM53	8.13082793414513	7.109569509370691	6.745506265869159	7.570614721761191	7.73809225962049	7.2364926183813	7.40173284952262	7.575917361118151	7.80799883862303	7.4708621994137	7.6242471458362004	6.14974711950468	7.7714894695006	7.4396231375571205	7.60288440871842	6.34872815423108	7.949534933017009	7.683696454306519	8.10590850857116	7.8486229404293395	7.82400405093315	7.75020450927987	7.93781516880342	7.95652136333312
ENTPD5	5.375039431346919	2.16992500144231	3.35049724708413	4.32912359629157	6.22689381357139	5.80219321694183	4.2779847472997705	5.8278190246173205	4.72246602447109	4.85299758761332	5.2288186904958796	3.6667565918847997	5.5576551547254205	5.82527683005487	6.378511623253731	5.04439411935845	5.845490050944379	6.11478344724985	5.19770815795585	6.02236781302845	4.32192809488736	6.47411151394241	7.003377360202321	6.47248777146274
CDCP1	3.49825086752783	5.8150630171928706	5.399171093819821	6.436295119839361	4.62058641045188	5.8629472480209195	6.04439411935845	5.91408609701272	5.63226821549951	3.4462562298895603	2.74416109557041	5.432959407276111	5.76022094646651	5.736063627871809	6.5576551547254205	6.19574129324645	3.99095486039699	4.95884267524324	6.266786540694901	5.9044840979014195	5.63807383718072	5.7681843247769296	5.485426827170239	3.48542682717024
HSD17B12	-0.514573172829758	4.07895134139482	-0.15200309344505	3.1043366598147406	1.20163386116965	3.72246602447109	-0.736965594166206	-0.15200309344505	0.37851162325373	0.485426827170242	1.26303440583379	-0.736965594166206	4.5235619560570095	2.72246602447109	2.60880924267552	3.57288966842058	1.26303440583379	3.4594316186372995	2.92599941855622	4.90689059560852	-0.736965594166206	5.30742852519225	-0.736965594166206	1.53605290024021
HSD17B12	3.9541963103868802	6.04439411935845	4.50462039240355	5.90689059560852	4.94485844580754	5.19770815795585	2.8875252707415897	4.38543103719352	3.57288966842058	5.066089190457769	4.5668151540109	4.49185309632967	6.76022094646651	4.62058641045188	5.19770815795585	5.6409679104499	3.96347412397489	1.53605290024021	5.857980995127571	6.294620748891631	1.76553474636298	6.48381577726426	4.0	3.23266075679028
WDR78	4.2016338611696495	3.77610398807316	4.4594316186373	3.8479969065549504	4.02680005934372	4.62058641045188	4.41953889151378	4.32192809488736	4.4594316186373	3.0531113364595597	4.51727569320958	1.84799690655495	3.9541963103868802	3.86789646399266	4.92599941855622	4.13750352374994	4.872828759534889	5.20163386116965	4.57288966842058	5.0089887832272595	-0.514573172829758	4.88264304936184	5.5576551547254205	5.20554891117303
WDR78	3.60880924267552	1.5849625007211599	2.53605290024021	1.0	5.181897643108389	4.65535182861255	4.29278174922785	4.79181407116183	4.807354922057599	5.09169983413681	4.51727569320958	1.84799690655495	1.92599941855622	3.1210154009613698	3.39231742277876	2.4329594072761096	2.8073549220576	3.1538053360790403	4.33628338786443	4.65535182861255	4.968090752045259	2.48542682717024	5.29278174922785	4.75488750216347
PTPRO	-1.0	5.02236781302845	4.61470984411521	2.60880924267552	3.1210154009613698	4.554588851677639	4.14567745519564	3.39231742277876	-0.15200309344505	2.03562390973072	3.9354597478052904	4.897240425574799	1.20163386116965	3.1699250014423104	3.72246602447109	4.35049724708413	2.23266075679027	1.76553474636298	2.35049724708413	3.6322682154995096	3.35049724708413	4.29278174922785	1.92599941855622	1.37851162325373
