Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ADCK3	7.96073059	7.633664106	7.735793263	7.807814681	8.437146161	7.524831019	7.824465955	7.248372788999999	7.286013112999999	7.965880526	7.962517795	7.70139774	7.8621964470000005	7.570267555	7.546418319	7.589715372000001	7.407315617	7.711963191000001	7.624278967	7.9535193170000005	7.983295645	7.644514362000001	8.374927634
COG2	6.79901674	7.220586604	7.441089225	7.494519801	7.601730217	7.18613238	7.241510293999999	6.762203079	6.692464816	7.114021086	7.120117776	7.351855985	6.85388946	7.340074743	7.374695127000001	7.34786855	7.529172919	7.027599795	7.2700968139999995	7.374667802	7.762730263	7.443812399	7.691421395
ARV1	7.670380497000001	7.963483684	8.18744375	7.85115407	8.490566062000001	8.306785285	8.01271046	7.63241274	7.647576121	7.932776501	7.955224467000001	7.916204125	7.3504763120000005	7.86124019	8.038803475	7.97994811	8.312927398	7.992771895	7.946795108	7.7618095920000005	8.182806077	7.86705189	8.231521357
NTPCR	7.089650905	7.243843251	7.13108058	6.827042112999999	7.551334874	7.164412107	7.086055215	7.317440769	7.316551404	7.486384427999999	7.296816669	7.332897987999999	6.805277646	6.658670757	7.475864642	7.626365763	7.6258270999999995	7.462070107000001	7.392425783999999	7.438488069	7.854513742000001	7.49591625	7.487434531
RPL22	6.505160622999999	6.315720356	6.0509621	6.428660602000001	6.6313182920000004	6.4270726389999995	6.350098975	6.083307102000001	5.832449477999999	6.326767952000001	6.322894451	5.994649341000001	5.637518059	6.2365799410000005	6.377133199	6.2939498039999995	6.724322846000001	6.094619288	6.443931121	6.287754505	6.778534583	6.439316662	6.581057457000001
DNAJC11	7.867225566	8.078743856000001	8.606057356	8.582887587	8.553920321	8.682307011	8.370861377999999	8.090121629	8.312369763	8.453458037	8.384862517	8.048318071	7.921362727999999	8.312976407	8.721192979	8.575316034	8.633767302999999	8.165831516	8.618325677	8.422900149	9.192036152	8.487235663	8.414821989
ENO1	12.00026741	11.95313731	12.28515468	12.09380745	12.23409381	12.41656961	12.18118335	12.23923024	12.02378616	12.00108308	11.92723778	12.02826914	11.60792298	12.24252083	12.32147991	11.98844529	12.29422851	12.28662234	12.06812764	12.00191135	12.41781557	12.32519331	11.98260319
CASZ1	7.174380642999999	7.9589560310000005	8.380038101	8.159577893	7.824556466000001	7.7858846470000005	7.750975573	7.726014172999999	8.161758207	7.745601806	8.029978863	7.2005165579999995	7.070585964	7.830651852999999	8.507367001	7.821887817	8.036044124	7.624907877	7.61811571	7.673790737000001	8.020661922	8.367039552	8.196311106
CASZ1	7.689102431	8.556733366	8.971707902	8.737936143999999	8.317228211	8.43928749	8.291547045	8.314912195	8.526887704	8.384525423	8.686436301	7.6666849589999995	7.4808571189999995	8.367631507	9.095759338999999	8.288811734	8.496818799	8.175654924	8.166180096	8.317148148	8.42810557	9.002730219	8.705441395
CASZ1	7.629949203	8.719633119	9.09164893	8.945064239	8.362819509	8.572848693	8.528676109	8.465762554	8.833688758	8.581040441	8.933523989	7.837384052999999	7.637884607999999	8.651860608	9.298406075	8.336514732000001	8.68097315	8.3635819	8.319934884	8.468115259	8.583879865	9.346067708	8.985344262
